country,year,primary_energy_consumption,oil_production,gas_production,coal_production,renewables_consumption,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity
Germany,2004,4009.893310546875,43.19960784912109,171.3351593017578,679.3446655273438,172.27450561523438,0.5600000023841858,26.020000457763672,20.75,167.07000732421875
Germany,2005,3962.63525390625,42.46268844604492,165.42674255371094,657.9307861328125,196.8682098388672,1.309999942779541,27.770000457763672,19.63999938964844,163.0500030517578
Germany,2006,4062.38720703125,42.86075210571289,163.42210388183594,620.4534912109375,234.34043884277344,2.2699999809265137,31.31999969482422,20.030000686645508,167.27000427246094
Germany,2007,3893.42333984375,42.07678985595703,149.69735717773438,632.8358764648438,285.448974609375,3.140000104904175,40.5099983215332,21.170000076293945,140.52999877929688
Germany,2008,3934.666259765625,38.17261505126953,136.35067749023438,582.6157836914062,294.3480834960937,4.510000228881836,41.380001068115234,20.440000534057617,148.49000549316406
Germany,2009,3692.17822265625,34.895957946777344,127.46168518066406,539.802734375,299.1275634765625,6.71999979019165,39.41999816894531,19.030000686645508,134.92999267578125
Germany,2010,3847.1513671875,31.08865737915039,111.23992156982422,533.7949829101562,323.7440185546875,11.960000038146973,38.54999923706055,20.950000762939453,140.55999755859375
Germany,2011,3710.584716796875,32.35758209228516,104.65450286865234,543.4824829101562,374.9230346679688,19.989999771118164,49.86000061035156,17.670000076293945,107.97000122070312
Germany,2012,3761.916259765625,32.446231842041016,94.6137237548828,555.5952758789062,428.2760314941406,26.739999771118164,51.68000030517578,21.75,99.45999908447266
Germany,2013,3868.51708984375,32.71566390991211,86.04125213623047,524.756103515625,445.7980651855469,30.6200008392334,52.7400016784668,23.0,97.29000091552734
Germany,2014,3710.464599609375,30.50981903076172,80.82743072509766,513.2765502929688,472.9235534667969,35.45000076293945,58.5,19.59000015258789,97.12999725341795
Germany,2015,3780.85986328125,30.494176864624023,75.24433135986328,497.9094543457031,537.013427734375,38.08000183105469,80.62000274658203,18.979999542236328,91.79000091552734
Germany,2016,3841.451171875,29.63895606994629,69.23041534423828,460.9722290039063,537.3480834960938,37.560001373291016,79.91999816894531,20.549999237060547,84.62999725341797
Germany,2017,3949.555908203125,,63.76161193847656,458.4444885253906,602.5205688476562,38.7599983215332,105.69000244140624,20.14999961853028,76.31999969482422
Germany,2018,3845.41357421875,,55.41773986816406,439.4076232910156,619.7752075195312,44.31999969482422,109.9499969482422,17.690000534057617,76.0
Germany,2019,3753.70361328125,,53.30759048461914,330.5278015136719,661.8125,45.220001220703125,125.88999938964844,19.729999542236328,75.06999969482422
Germany,2020,3498.9150390625,,45.32420349121094,271.9445495605469,692.77978515625,49.5,132.11000061035156,18.71999931335449,64.37999725341797
Germany,2021,3598.492431640625,,45.36816787719727,320.3333435058594,644.4158935546875,49.34000015258789,114.16000366210938,19.65999984741211,69.12999725341797
Germany,2022,3455.449951171875,,42.572750091552734,331.343994140625,695.2796630859375,60.29999923706055,124.80999755859376,17.6200008392334,34.709999084472656
Germany,2023,3178.885986328125,,38.06118774414063,254.48016357421875,741.0211181640625,63.869998931884766,140.5399932861328,21.239999771118164,7.21999979019165
Germany,2024,3195.44140625,,36.60266876220703,228.76210021972656,756.72119140625,74.12999725341797,141.60000610351562,23.82999992370605,0.0
Germany,2025,,,,,,89.62000274658203,136.02999877929688,19.559999465942383,0.0
India,1900,,1.674720048904419,0.0,39.54738235473633,,,,,
India,1901,,2.221329927444458,0.0,42.88753128051758,,,,,
India,1902,,2.512079954147339,0.0,47.99000930786133,,,,,
India,1903,,3.896049976348877,0.0,48.07271957397461,,,,,
India,1904,,5.245130062103272,0.0,53.111576080322266,,,,,
India,1905,,6.408130168914795,0.0,54.41582489013672,,,,,
India,1906,,6.23367977142334,0.0,63.24018478393555,,,,,
India,1907,,6.73376989364624,0.0,72.05818176269531,,,,,
India,1908,,7.826990127563477,0.0,82.5494384765625,,,,,
India,1909,,10.350700378417969,0.0,76.72802734375,,,,,
India,1910,,9.51333999633789,0.0,77.87322235107422,,,,,
India,1911,,10.00179958343506,0.0,82.19951629638672,,,,,
India,1912,,11.036870002746582,0.0,95.0638656616211,,,,,
India,1913,,12.292909622192385,0.0,104.77256774902344,,,,,
India,1914,,11.47881031036377,0.0,106.42674255371094,,,,,
India,1915,,12.723219871520996,0.0,110.56216430664062,,,,,
India,1916,,13.165160179138184,0.0,111.53557586669922,,,,,
India,1917,,12.52550983428955,0.0,117.73235321044922,,,,,
India,1918,,12.409210205078123,0.0,133.95594787597656,,,,,
India,1919,,13.537320137023926,0.0,146.2731475830078,,,,,
India,1920,,13.607099533081056,0.0,116.10999298095705,,,,,
India,1921,,14.74683952331543,0.0,124.78166198730467,,,,,
India,1922,,14.397939682006836,0.0,122.89208984375,,,,,
India,1923,,14.188599586486816,0.0,127.06568908691406,,,,,
India,1924,,14.211859703063965,0.0,136.89527893066406,,,,,
India,1925,,13.96763038635254,0.0,135.1265869140625,,,,,
India,1926,,12.79300022125244,0.0,135.74371337890625,,,,,
India,1927,,13.00234031677246,0.0,142.74212646484375,,,,,
India,1928,,2.000360012054444,0.0,145.7259979248047,,,,,
India,1929,,2.407409906387329,0.0,151.3883514404297,,,,,
India,1930,,2.488820075988769,0.0,153.86959838867188,,,,,
India,1931,,2.791199922561645,0.0,140.37539672851562,,,,,
India,1932,,2.7795701026916504,0.0,130.27223205566406,,,,,
India,1933,,2.6051199436187744,0.0,127.9245834350586,,,,,
India,1934,,3.070319890975952,0.0,142.58306884765625,,,,,
India,1935,,3.2564001083374023,0.0,148.7862091064453,,,,,
India,1936,,3.070319890975952,0.0,146.1649932861328,,,,,
India,1937,,3.361069917678833,0.0,161.8414306640625,,,,,
India,1938,,3.872790098190308,0.0,183.2183837890625,,,,,
